Time, Sensor 3, Sensor 2, Sensor 1, Sensor 0, 
620,300,300,300, ,
623,300,300,300, ,
626,300,300,300, ,
628,300,300,300, ,
631,300,300,300, ,
633,300,300,300, ,
636,300,300,300, ,
638,300,300,300,57.54,
642, ,300,300,57.54,
645, ,300,300,57.54,
647, ,300,300,57.54,
650, ,300,300,57.54,
652, ,300,300,57.54,
655, ,300,300,57.54,
657, ,300,300,57.54,
660, ,300,300,57.54,
662, ,300,300,57.54,
665, ,300,300,57.54,
667, ,300,300,57.54,
670, ,300,300,57.54,
672, ,300,300,57.54,
675,300, ,300,57.54,
677,300, ,300,57.54,
680,300, ,300,57.54,
683,300, ,300,57.54,
686,300, ,300,57.54,
688,300, ,300,57.54,
691,300, ,300,57.54,
693,300, ,300,57.54,
696,300, ,300,57.54,
698,300, ,300,57.54,
701,300, ,300,57.54,
703,300, ,300,57.54,
706,300, ,300,57.54,
708,300, ,300,57.54,
711,300,300, ,57.54,
713,300,300, ,57.54,
716,300,300, ,57.54,
718,300,300, ,57.54,
721,300,300, ,57.54,
723,300,300, ,57.54,
727,300,300, ,57.54,
729,300,300, ,57.54,
732,300,300, ,57.54,
734,300,300, ,57.54,
737,300,300, ,57.54,
739,300,300, ,57.54,
742,300,300, ,57.54,
744,300,300, ,57.54,
747,300,300,300, ,
749,300,300,300, ,
752,300,300,300, ,
754,300,300,300, ,
757,300,300,300, ,
759,300,300,300, ,
762,300,300,300, ,
765,300,300,300, ,
768,300,300,300, ,
771,300,300,300, ,
773,300,300,300, ,
776,300,300,300, ,
778,300,300,300, ,
781,300,300,300,57.54,
784, ,300,300,57.54,
787, ,300,300,57.54,
789, ,300,300,57.54,
791, ,300,300,57.54,
794, ,300,300,57.54,
796, ,300,300,57.54,
799, ,300,300,57.54,
801, ,300,300,57.54,
804, ,300,300,57.54,
806, ,300,300,57.54,
809, ,300,300,57.54,
812, ,300,300,57.54,
815, ,300,300,57.54,
817,300, ,300,57.54,
820,300, ,300,57.54,
822,300, ,300,57.54,
825,300, ,300,57.54,
827,300, ,300,57.54,
830,300, ,300,57.54,
832,300, ,300,57.54,
835,300, ,300,57.54,
837,300, ,300,57.54,
840,300, ,300,57.54,
842,300, ,300,57.54,
845,300, ,300,57.54,
847,300, ,300,57.54,
850,300, ,300,57.54,
852,300,300, ,57.54,
856,300,300, ,57.54,
858,300,300, ,57.54,
861,300,300, ,57.54,
863,300,300, ,57.54,
866,300,300, ,57.54,
868,300,300, ,57.54,
871,300,300, ,57.54,
873,300,300, ,57.54,
876,300,300, ,57.54,
878,300,300, ,57.54,
881,300,300, ,57.54,
883,300,300, ,57.54,
886,300,300, ,57.54,
888,300,300,300, ,
891,300,300,300, ,
893,300,300,300, ,
897,300,300,300, ,
899,300,300,300, ,
902,300,300,300, ,
905,300,300,300, ,
907,300,300,300, ,
910,300,300,300, ,
912,300,300,300, ,
915,300,300,300, ,
917,300,300,300, ,
920,300,300,300, ,
923,300,300,300,57.54,
926, ,300,300,57.54,
928, ,300,300,57.54,
931, ,300,300,57.54,
933, ,300,300,57.54,
936, ,300,300,57.54,
939, ,300,300,57.54,
